start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,label,polarity,candidate_rank,score,stimulus_index,stimulus_s,component_rank,auto_label
307.5155,307.52475,24.502685546849534,26.252685546864996,33.752685546858174,9.25,3.0275629022022263,-0.21531251072883606,0.01812499761581421,0.01812499761581421,0.21531251072883606,0.23343750834465027,0.22031250596046448,1.0138281509280205,0.12784793728968083,-0.2368749976158142,0.1429319190636277,1.5063990754436547,1.633207682888054,1.5413807314963004,lr,1,2,2.878641008471467,336,307.4909973144531,1,lr_auto
307.52225,307.52425,31.252685546860448,32.75268554688182,33.25268554687,2.0,1.3157230604362833,-0.1496874988079071,-0.12843748927116394,-0.12843748927116394,0.1496874988079071,0.021250009536743164,0.02000001072883606,0.2721875049173832,0.1377459545789098,-0.2368749976158142,0.1429319190636277,1.047264318484887,0.14867224673086135,0.13992683271769993,lr,1,3,0.7289188378364378,336,307.4909973144531,2,lr_auto
307.53,307.53225,39.002685546847715,40.00268554688091,41.25268554685135,2.25,1.413096374141564,-0.2409375011920929,-0.20343750715255737,-0.20343750715255737,0.2409375011920929,0.03749999403953552,0.026250004768371582,0.4822656251490116,0.21674307117839603,-0.2368749976158142,0.1429319190636277,1.6856801669670225,0.2623626289019599,0.18365390278350707,lr,1,4,0.8688060329603936,336,307.4909973144531,3,lr_auto
308.0045,308.0065,13.502685546882276,15.002685546846806,15.502685546891826,2.0,0.774946234250816,0.14343750476837158,0.3015625071711838,0.3015625071711838,0.3015625071711838,0.15812500240281224,0.06937499763444066,0.5130468887509778,0.2526792268437861,-0.3050000071525574,0.0750566417902708,4.017799091169488,2.1067423032948587,0.9243019135907221,er,1,1,1.2270625666105148,337,307.9909973144531,1,er_auto
308.00825,308.011,17.252685546850444,18.50268554687773,20.0026855468991,2.75,1.811498445992148,-1.8490625023841858,-1.4699999690055847,-1.8490625023841858,1.8490625023841858,0.3790625333786011,0.2775000333786011,4.787070259451866,1.7263614950471036,-0.3050000071525574,0.0750566417902708,24.635561334478332,5.050352964602487,3.6972082251430005,mr,-1,1,0.4732161479003729,337,307.9909973144531,1,mr_auto
308.03475,308.03975,43.75268554684908,46.252685546846806,48.752685546901375,5.0,2.931221702289375,0.21156250685453415,0.34312500804662704,0.34312500804662704,0.34312500804662704,0.1315625011920929,0.10968749970197678,1.4724219100899063,0.293973967025837,-0.3050000071525574,0.0750566417902708,4.57154756544283,1.7528428937670197,1.4613963146456013,lr,1,4,2.21888182178532,337,307.9909973144531,1,lr_auto
308.50325,308.50625,12.252685546854991,14.502685546858629,15.252685546897737,3.0,1.2173201874778545,0.5693749841302633,0.8993750270456076,0.8993750270456076,0.8993750270456076,0.33000004291534424,0.2459375262260437,2.2861328069120646,0.7562243249129494,0.057499999180436134,0.06926521689975634,12.984511812721564,4.7642966800051285,3.5506642039679925,er,1,1,3.9383297864399025,338,308.4909973144531,1,er_auto
308.509,308.51125,18.002685546889552,19.002685546865905,20.25268554689319,2.25,1.504876239836457,-1.2350000087171793,-1.0643750373274088,-1.2350000087171793,1.2350000087171793,0.1706249713897705,0.15812504291534424,2.646328064147383,1.1670966044800772,0.057499999180436134,0.06926521689975634,17.830017200473442,2.463357209098276,2.2828924818670493,mr,-1,1,0.6105540137654556,338,308.4909973144531,1,mr_auto
308.51575,308.5215,24.752685546900466,29.00268554685681,30.502685546878183,5.75,4.185086877519698,-0.2049999926239252,-0.05499999923631549,-0.05499999923631549,0.2049999926239252,0.14999999338760972,0.13218750292435288,0.5651171830977546,0.11208028892902927,0.057499999180436134,0.06926521689975634,2.9596383552889205,2.1655890229102477,1.9084254527876587,lr,1,2,2.5767709977222384,338,308.4909973144531,1,lr_auto
308.53725,308.54075,46.252685546846806,48.252685546856355,49.75268554687773,3.5,2.0172417762022055,0.24312499724328518,0.2949999924749136,0.2949999924749136,0.2949999924749136,0.05187499523162842,0.049062490463256836,0.9566015647724271,0.27196175617266577,0.057499999180436134,0.06926521689975634,4.2589918241626314,0.7489328345958143,0.708327969784058,lr,1,4,1.213005254095536,338,308.4909973144531,2,lr_auto
