source_index,source_label,label,stimulus_index,stimulus_s,annotation_onset_s,annotation_duration_ms,polarity,start_s,end_s,start_latency_ms,peak_latency_ms,end_latency_ms,duration_ms,peak_width_ms,min_amplitude,max_amplitude,signed_peak_amplitude,absolute_peak_amplitude,p2p_amplitude,prominence,auc_abs,rms,baseline_median,baseline_noise,amplitude_noise_ratio,p2p_noise_ratio,prominence_noise_ratio,bounds_inferred,component_rank,included_in_calibration,exclusion_reason,er_to_mr_ms,mr_to_lr_ms,auto_label
61,mr_auto,mr,351,314.990753,315.0075,2.999999999985903,-1,315.0075,315.0105,16.747000000009393,18.247000000030766,19.746999999995296,2.999999999985903,2.01060502556488,-0.9103125333786011,-0.7024999856948853,-0.9103125333786011,0.9103125333786011,0.20781254768371582,0.17125004529953003,2.53980465978384,0.8395635277107687,-0.13562500476837158,0.06671700265109538,13.644385946700728,3.1148363899154257,2.5668126338813932,False,1,True,,4.750000000001364,,mr_auto
62,lr_auto,lr,351,314.990753,315.01475,5.249999999989541,1,315.01475,315.02,23.997000000008484,25.997000000018033,29.246999999998025,5.249999999989541,3.8626375377827453,-0.18406248092651367,-0.032499998807907104,-0.032499998807907104,0.18406248092651367,0.15156248211860657,0.15125000476837158,0.40769529342651367,0.09688010515520433,-0.13562500476837158,0.06671700265109538,2.7588541692901076,2.2717219913373636,2.267038367406158,False,1,True,,,7.749999999987267,lr_auto
63,lr_auto,lr,351,314.990753,315.02275,3.2500000000368345,1,315.02275,315.026,31.99699999998984,33.99699999999939,35.247000000026674,3.2500000000368345,2.11140566611839,-0.24656248092651367,-0.2162500023841858,-0.2162500023841858,0.24656248092651367,0.03031247854232788,0.025624990463256836,0.7344921827316284,0.22750881251886035,-0.13562500476837158,0.06671700265109538,3.695646853560582,0.4543441302489359,0.38408485760767486,False,2,True,,,15.749999999968622,lr_auto
64,lr_auto,lr,351,314.990753,315.04175,4.750000000001364,1,315.04175,315.0465,50.996999999995296,53.747000000043954,55.74699999999666,4.750000000001364,3.358148276233549,-0.034999996423721313,0.010312497615814209,0.010312497615814209,0.034999996423721313,0.04531249403953552,0.040312498807907104,0.05234375596046448,0.015159954423306336,-0.13562500476837158,0.06671700265109538,0.5246038495877583,0.6791746067565817,0.6042312634865535,False,3,True,,,35.50000000001319,lr_auto
65,er_auto,er,361,319.988739,320.0,2.250000000003638,1,320.0,320.00225,11.260999999990418,12.511000000017702,13.510999999994056,2.250000000003638,1.4500439217326826,0.2462499998509884,0.5703124962747097,0.5703124962747097,0.5703124962747097,0.3240624964237213,0.1796875,1.114921878091991,0.4876594498406787,-0.08875000104308128,0.13343400150504894,4.274116715694312,2.4286350762812074,1.346639521960232,False,1,True,,,,er_auto
66,mr_auto,mr,361,319.988739,320.00525,2.250000000003638,-1,320.00525,320.0075,16.51099999997996,17.511000000013155,18.760999999983596,2.250000000003638,1.4996249535269193,-2.0621875561773777,-1.8434375561773777,-2.0621875561773777,2.0621875561773777,0.21875,0.2131251096725464,4.46289058867842,1.971304758918241,-0.08875000104308128,0.13343400150504894,15.454738169561283,1.6393872441255,1.5972323940572377,False,1,True,,4.9999999999954525,,mr_auto
67,lr_auto,lr,361,319.988739,320.018,2.250000000003638,1,320.018,320.02025,29.260999999962678,30.011000000001786,31.510999999966316,2.250000000003638,1.4141020349106075,0.503749992698431,0.5281250141561031,0.5281250141561031,0.5281250141561031,0.02437502145767212,0.02187502384185791,1.168593748472631,0.5180071475027996,-0.08875000104308128,0.13343400150504894,3.957949309765095,0.18267473944225382,0.16393890309157963,False,1,True,,,12.499999999988631,lr_auto
68,lr_auto,lr,361,319.988739,320.022,7.000000000005002,1,320.022,320.029,33.26099999998178,37.01100000000679,40.26099999998678,7.000000000005002,2.667936835189289,0.4909374974668026,0.5712499879300594,0.5712499879300594,0.5712499879300594,0.08031249046325684,0.0793749988079071,3.6674609407782555,0.523546190003478,-0.08875000104308128,0.13343400150504894,4.281142598488619,0.6018892453001788,0.5948633625058728,False,2,True,,,19.499999999993634,lr_auto
69,lr_auto,lr,361,319.988739,320.0315,1.5000000000213731,1,320.0315,320.033,42.760999999984506,43.51099999996677,44.26100000000588,1.5000000000213731,0.8699867387400142,0.4831249974668026,0.5024999938905239,0.5024999938905239,0.5024999938905239,0.019374996423721313,0.013437479734420776,0.7442578170448542,0.49477408829719705,-0.08875000104308128,0.13343400150504894,3.765906652147504,0.14520284339211842,0.10070506454767694,False,3,True,,,25.999999999953616,lr_auto
70,er_auto,er,362,320.488495,320.49975,2.999999999985903,1,320.49975,320.50275,11.255000000005566,13.255000000015116,14.254999999991469,2.999999999985903,1.9307002528642132,0.32640625117346644,0.5539062428288162,0.5539062428288162,0.5539062428288162,0.22749999165534973,0.1796875,1.4470703140832484,0.477375680094564,0.008281250018626451,0.12949584245206788,4.2774056088622405,1.7568130941312459,1.3875928106843296,False,1,True,,,,er_auto
