auto_index,manual_index,overlap_s,intersection_over_union,epoch_index,stim_sample,next_stim_sample,stim_time_s_x,isi_ms,baseline_median_uv,baseline_noise_uv,baseline_noise_outlier,candidate_found,er_found,er_detection_source,er_significant,stim_time_s_y,er_start_ms,er_peak_ms,er_end_ms,er_core_end_ms,er_rebound_ms,er_full_duration_ms,er_width_ms,er_min_uv,er_max_uv,er_depth_uv,er_p2p_uv,er_core_p2p_uv,er_prominence_uv,er_rebound_change_native,er_rebound_depth_ratio,er_morphology_score,effective_noise_uv,er_depth_noise_ratio,er_p2p_noise_ratio,er_prominence_noise_ratio,amplitude_unit,er_threshold_source,er_significance_reason
21.0,103.0,0.02197265625,0.9987571022731195,255,1067971,1069971,266.99275,500.0,0.19562500715255737,0.09358914620876312,False,True,True,significant_er,True,266.99275,19.75,21.75,41.75,26.25,41.75,22.0,6.5,-1.1203124523162842,-0.19187499582767487,1.3159374594688416,0.9284374564886093,0.7615624666213989,0.5306249260902405,0.9284374564886093,0.7055331161887884,2.3017700903797382,0.12092456868588923,10.88230021218508,7.677823180004853,4.388065484596262,native,verified_mad,significant
88.0,179.0,0.02174999999999727,0.9995848527347975,430,1599619,1601619,399.90475,500.0,0.043437499552965164,0.13528724801167846,False,True,True,significant_er,True,399.90475,12.25,14.25,34.0,19.0,34.0,21.75,6.75,-1.1375000476837158,0.20749999582767487,1.180937547236681,1.3450000435113907,0.7515625357627869,0.93687504529953,1.3450000435113907,1.1389256329927062,2.5069850041227424,0.13528724801167846,8.729112053005457,9.941809470433501,6.925080220558968,native,verified_mad,significant
99.0,247.0,0.02174999999999727,0.9995848527347975,558,1855613,1857612,463.90325,499.75,-0.38624998927116394,0.18625160202383995,False,True,True,significant_er,True,463.90325,12.25,14.0,34.0,16.25,34.0,21.75,4.0,-2.4540624618530273,1.0553125143051147,2.0678124725818634,3.509374976158142,1.1481249332427979,1.3378124237060547,3.509374976158142,1.6971437316926272,3.293027261809089,0.18625160202383995,11.102253350374866,18.842119681252175,7.1828237135636375,native,verified_mad,significant
10.0,12.0,0.021749450683600458,0.9998849555543023,44,412739,414739,103.18475,500.0,-0.06031249836087227,0.06764363229051232,False,True,True,significant_er,True,103.18475,13.25,15.25,35.0,19.25,35.0,21.75,6.0,-0.9671875238418579,0.08343750238418579,0.9068750254809856,1.0506250262260437,0.4803125262260437,0.8384375274181366,1.0506250262260437,1.158511367835735,2.217207372137849,0.12092456868588923,7.499510110610049,8.688267716340773,6.933558139008475,native,verified_mad,significant
67.0,158.0,0.021728515625,0.9990122126438035,369,1295955,1297954,323.98875,499.75,0.026875000447034836,0.12833756161630153,False,True,True,significant_er,True,323.98875,18.75,20.5,40.5,23.75,40.5,21.75,5.0,-1.302187442779541,0.24562500417232513,1.3290624432265759,1.5478124469518661,0.7962499260902405,0.9715624451637268,1.5478124469518661,1.1645897112209636,1.9796973425129876,0.12833756161630153,10.355989520824412,12.060478845464226,7.570367029946112,native,verified_mad,significant
23.0,109.0,0.021500000000003183,0.9993078014185877,271,1099971,1101971,274.99275,500.0,-0.05781250074505806,0.05374425121508539,False,True,True,significant_er,True,274.99275,19.0,20.5,40.5,24.25,40.5,21.5,5.25,-1.5359375476837158,0.3278124928474426,1.4781250469386578,1.8637500405311584,0.8025000691413879,0.8556250333786011,1.8637500405311584,1.2608879366405217,1.803263354741971,0.12092456868588923,12.223529618519459,15.412501039159304,7.075692249117317,native,verified_mad,significant
48.0,138.0,0.021500000000003183,0.9993078014185877,345,1247963,1249963,311.99075,500.0,0.02812499925494194,0.07598324933722615,False,True,True,significant_er,True,311.99075,14.75,16.25,36.25,18.75,36.25,21.5,4.0,-0.3709374964237213,0.6390625238418579,0.39906249567866325,1.0100000202655792,0.2368749976158142,0.5881249904632568,1.0100000202655792,2.5309319497637297,4.18399126248021,0.12092456868588923,3.3000944308948372,8.352314432389097,4.863569056764273,native,verified_mad,significant
19.0,96.0,0.021484375,0.9992732558138055,234,1025971,1027971,256.49275,500.0,-0.11812499910593033,0.053280930872261524,False,True,True,significant_er,True,256.49275,18.5,20.0,40.0,23.0,40.0,21.5,4.5,-1.3606250286102295,0.4440625011920929,1.2425000295042992,1.8046875298023224,0.7015625238418579,0.9812500178813934,1.8046875298023224,1.452464778228062,1.9742887299258762,0.12092456868588923,10.275000713310689,14.924076632351987,8.114562892758915,native,verified_mad,significant
25.0,111.0,0.021484375,0.9992732558138055,280,1117971,1119971,279.49275,500.0,-0.09687499701976776,0.04494132487177849,False,True,True,significant_er,True,279.49275,20.25,22.75,41.75,26.25,41.75,21.5,6.0,-1.7981250286102295,0.08906249701976776,1.7012500315904617,1.8871875256299973,0.9303125143051147,0.4481250047683716,1.8871875256299973,1.1092946307637723,1.7752748254034727,0.12092456868588923,14.068688026579514,15.606320089775226,3.7058226433075845,native,verified_mad,significant
68.0,159.0,0.021484375,0.9992732558138055,371,1299954,1301954,324.9885,500.0,-0.31812500953674316,0.13436060732603072,False,True,True,significant_er,True,324.9885,16.25,17.75,37.75,20.0,37.75,21.5,3.75,-1.2000000476837158,0.5506250262260437,0.8818750381469727,1.7506250739097595,0.4671875238418579,1.1365625485777855,1.7506250739097595,1.9851169362818517,3.214245299503349,0.13436060732603072,6.563493986054052,13.029303072899978,8.45904593018009,native,verified_mad,significant
