epoch_index,stim_sample,next_stim_sample,stim_time_s_x,isi_ms,baseline_median_uv,baseline_noise_uv,baseline_noise_outlier,candidate_found,er_found,er_detection_source,er_significant,stim_time_s_y,er_start_ms,er_peak_ms,er_end_ms,er_core_end_ms,er_rebound_ms,er_full_duration_ms,er_width_ms,er_min_uv,er_max_uv,er_depth_uv,er_p2p_uv,er_core_p2p_uv,er_prominence_uv,er_rebound_change_native,er_rebound_depth_ratio,er_morphology_score,effective_noise_uv,er_depth_noise_ratio,er_p2p_noise_ratio,er_prominence_noise_ratio,amplitude_unit,er_threshold_source,er_significance_reason
66,456737,458737,114.18425,500.0,-0.19718749821186066,0.11304825265109539,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
67,458737,460737,114.68425,500.0,0.05406250059604645,0.11443817777931689,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
68,460737,462737,115.18425,500.0,-0.15843750536441803,0.11304825265109539,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
69,462737,464736,115.68425,499.75,-0.11874999850988388,0.061157246907055374,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
70,464736,466737,116.184,500.25,0.05062500014901161,0.11768137599416076,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
71,466737,468736,116.68425,499.75,-0.0546875,0.15613630719780922,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
72,468736,470736,117.184,500.0,-0.25062501430511475,0.15474633788466452,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
73,470736,472728,117.684,498.0,0.03125,0.08802937941849232,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
74,472728,474735,118.182,501.75000000000006,0.012187499552965164,0.12463105962797999,False,True,False,candidate_not_significant,False,118.182,14.75,19.0,23.0,21.0,23.0,8.25,6.25,-0.17656250298023224,0.024687500670552254,0.1887500025331974,0.2012500036507845,0.10062500089406967,0.16562500316649675,0.2012500036507845,1.066225170595103,3.9905067955363696,0.12463105962797999,1.514470013306559,1.6147660482989534,1.3289223702412742,native,matched_auto_manual_robust_mad,below_snr
75,474735,476735,118.68375,500.0,0.18281249701976776,0.08941930454671382,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
76,476735,478728,119.18375,498.25,-0.20812499523162842,0.12416776413917541,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
77,478728,480735,119.682,501.75000000000006,0.029062500223517418,0.15659962754063309,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
78,480735,482728,120.18375,498.25,0.1171875,0.13899375,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
79,482728,484735,120.682,501.75000000000006,0.30687499046325684,0.08617610909342766,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
80,484735,486735,121.18375,500.0,-0.06687500327825546,0.08107969302311539,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
81,486735,488735,121.68375,500.0,0.2109375,0.12787424955815077,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
82,488735,490735,122.18375,500.0,0.10499999672174454,0.16957237069196998,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
83,490735,492696,122.68375,490.25,-0.2459374964237213,0.23258287411630152,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
84,492696,494735,123.174,509.75000000000006,-0.06062500178813934,0.11490150364525616,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
85,494735,496736,123.68375,500.25,0.19812500476837158,0.14270024646520613,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
86,496736,498735,124.184,499.75,0.08062499761581421,0.16864574381411074,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
87,498735,500735,124.68375,500.0,-0.08156249672174454,0.18856818440705536,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
88,500735,502736,125.18375,500.25,0.06031249836087227,0.1315807487849146,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
89,502736,504735,125.684,499.75,0.48093751072883606,0.03706500883698463,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
90,504735,506728,126.18375,498.25,0.22843749821186066,0.09266252209246158,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
91,506728,508728,126.682,500.0,-0.009687500074505806,0.32107555730827153,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
92,508728,510728,127.182,500.0,-0.12218750268220901,0.08617613118588924,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
93,510728,512736,127.682,502.0,0.21125000715255737,0.17142561616301535,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
94,512736,514728,128.184,498.0,0.18781250715255737,0.07644656691849232,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
95,514728,516728,128.682,500.0,-0.25218749046325684,0.08710275530219078,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
96,516728,518728,129.182,500.0,-0.1353124976158142,0.08571280808150768,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
97,518728,520736,129.682,502.0,-0.12531250715255737,0.08154301060438156,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
98,520736,522727,130.184,497.75,-0.1381250023841858,0.08571281912773847,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
99,522727,524736,130.68175,502.25,0.22312499582767487,0.23953255498856305,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
100,524736,526727,131.184,497.75,0.027187500149011612,0.28818038184866307,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
101,526727,528736,131.68175,502.25,-0.27000001072883606,0.04818452032506466,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
102,528736,530727,132.184,497.75,-0.12999999523162842,0.17374218749999998,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
103,530727,532736,132.68175,502.25,0.13843749463558197,0.06023063383698463,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
104,532736,534727,133.184,497.75,-0.03437500074505806,0.12972750331386923,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
105,534727,536727,133.68175,500.0,-0.021250000223517418,0.1362138693664223,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
106,536727,538736,134.18175,502.25,-0.11500000208616257,0.17930194324404,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
107,538736,540736,134.684,500.0,-0.017500000074505806,0.07644656415693461,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
108,540736,542736,135.184,500.0,0.08375000208616257,0.13297069324404,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
109,542736,544736,135.684,500.0,-0.5400000214576721,0.18439839797616003,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
110,544736,546736,136.184,500.0,-0.12968750298023224,0.12416774204671382,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
111,546736,548736,136.684,500.0,-0.12812499701976776,0.11582812499999999,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
112,548736,550736,137.184,500.0,-0.25062501430511475,0.0393815359890461,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
113,550736,552736,137.684,500.0,0.19031250476837158,0.11536480189561843,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
114,552736,554735,138.184,499.75,-0.14406250417232513,0.12926418573260307,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
115,554735,556736,138.68375,500.25,-0.16718749701976776,0.08478618396520614,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
116,556736,558727,139.184,497.75,-0.16593749821186066,0.11212162853479385,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
117,558727,560727,139.68175,500.0,-0.004687500186264515,0.12324112483430653,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
118,560727,562727,140.18175,500.0,-0.5815625190734863,0.07829983724355698,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
119,562727,564727,140.68175,500.0,-0.33500000834465027,0.17883860909342764,False,False,False,no_morphology_candidate,False,,,,,,,,,,,,,,,,,,,,,,,,
